MHOUNDEL_BRANCH_ID,MHOUNDEL_NO,MHOUNDEL_REMARKS,MHOUNDEL_DATE,MHOUNDEL_USER_ID,MHOUNDEL_ZONE,MHOUNDEL_APPROVE,MHOUNDEL_USER1,MHOUNDEL_USER2,MHOUNDEL_SIGNDATE,MHOUNDEL_FLOW
CLG000,CLG/HOC/00148558,AU Ex UNDEL,2026-01-06 01:24:29,BELLCLG,CLG001,Y,BELLCLG,ERISCLG,2026-01-06 00:00:00,C
CGK000,CGK/HOC/00577033,AU Ex UNDEL,2026-01-07 00:42:52,CHIRUL,CGK865,Y,CHIRUL,AIP,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00577047,,2026-01-07 01:37:11,MROBYCGK,CGK864,Y,MROBYCGK,WARDOYO,2026-01-07 00:00:00,C
DPS000,DPS/HOC/00203718,AU Ex UNDEL,2026-01-08 22:45:59,IWAYDPS,DPS127,Y,IWAYDPS,SUPUTRA,2026-01-08 00:00:00,C
KOE000,KOE/HOC/00503472,AU Ex UNDEL,2026-01-06 17:47:32,BELLO,KOE026,Y,BELLO,PAOHKOE,2026-01-06 00:00:00,C
CGK000,CGK/HOC/00576939,AU Ex UNDEL,2026-01-06 20:10:40,THAMRIKA,CGK843,Y,THAMRIKA,MS,2026-01-06 00:00:00,C
TGR000,TGR/HOC/00177535,AU Ex UNDEL,2026-01-10 01:39:59,EMBI,TGR215,Y,EMBI,MUHREZ,2026-01-10 00:00:00,C
PWT000,PWT/HOC/00101235,AU Ex UNDEL,2026-01-08 03:30:12,JEJEN,PWT039,Y,JEJEN,MUHAJI,2026-01-08 00:00:00,C
CGK000,CGK/HOC/00576746,AU Ex UNDEL,2026-01-05 22:55:15,AIP,CGK865,Y,AIP,CHIRUL,2026-01-05 00:00:00,C
CKR000,CKR/HOC/00036468,AU Ex UNDEL,2026-01-07 00:47:37,AMUL,CKR003,Y,AMUL,JAEABI,2026-01-07 00:00:00,C
KOE000,KOE/HOC/00503853,AU Ex UNDEL,2026-01-10 10:51:09,HRVEDA,KOE036,Y,HRVEDA,URSALKOE,2026-01-10 00:00:00,C
DPS000,DPS/HOC/00203508,AU Ex UNDEL,2026-01-06 20:50:31,SARIDPS,DPS168,Y,SARIDPS,KADEKEGA,2026-01-06 00:00:00,C
DPS000,DPS/HOC/00203701,AU Ex UNDEL,2026-01-08 18:59:40,SARIDPS,DPS168,Y,SARIDPS,KADEKEGA,2026-01-08 00:00:00,C
SUB000,SUB/HOC/00304674,AU Ex UNDEL,2026-01-09 00:59:22,APURWA,SUB566,Y,APURWA,MAHBUB,2026-01-09 00:00:00,C
TGR000,TGR/HOC/00177289,AU Ex UNDEL,2026-01-07 01:58:27,MUHREZ,TGR215,Y,MUHREZ,EMBI,2026-01-07 00:00:00,C
PWT000,PWT/HOC/00101233,AU Ex UNDEL,2026-01-07 21:07:34,DEDEPWT,PWT061,Y,DEDEPWT,ARIESNAN,2026-01-07 00:00:00,C
CKR000,CKR/HOC/00036488,AU Ex UNDEL,2026-01-07 22:47:17,GUSO,CKR003,Y,GUSO,RIZKIAH,2026-01-07 00:00:00,C
TGR000,TGR/HOC/00177289,AU Ex UNDEL,2026-01-07 01:58:27,MUHREZ,TGR215,Y,MUHREZ,EMBI,2026-01-07 00:00:00,C
CLG000,CLG/HOC/00148604,AU Ex UNDEL,2026-01-06 23:03:12,SUYADCLG,CLG001,Y,SUYADCLG,ERISCLG,2026-01-06 00:00:00,C
TKG000,TKG/HOC/00189029,AU Ex UNDEL,2026-01-07 19:38:22,HASDI,TKG001,Y,HASDI,SERDIAN,2026-01-07 00:00:00,C
BKI000,BKI/HOC/00091523,AU Ex UNDEL,2026-01-06 02:22:47,IYAN BKI,BKI001,Y,IYAN BKI,SUSILO_F,2026-01-06 00:00:00,C
DPK000,DPK/HOC/00082571,,2026-01-07 00:51:28,CIKALKAM,DPK001,Y,CIKALKAM,JIMYFT,2026-01-07 00:00:00,C
SUB000,SUB/HOC/00304253,AU Ex UNDEL,2026-01-06 01:53:27,IRFENDI,SUB001,Y,IRFENDI,EDMANTUL,2026-01-06 00:00:00,C
SUB000,SUB/HOC/00304381,AU Ex UNDEL,2026-01-06 21:13:34,INDRAB,SUB566,Y,INDRAB,MAHBUB,2026-01-06 00:00:00,C
TGR000,TGR/HOC/00177289,AU Ex UNDEL,2026-01-07 01:58:27,MUHREZ,TGR215,Y,MUHREZ,EMBI,2026-01-07 00:00:00,C
CBN000,CBN/HOC/00092356,AU Ex UNDEL,2026-01-10 14:24:32,KHAMIM,CBN464,Y,KHAMIM,EKPRATA,2026-01-10 00:00:00,C
CGK000,CGK/HOC/00577390,,2026-01-08 18:21:00,MNURCGK,CGK637,Y,MNURCGK,ERVAN,2026-01-08 00:00:00,C
CKR000,CKR/HOC/00036470,AU Ex UNDEL,2026-01-07 01:06:36,GUSO,CKR003,Y,GUSO,RIZKIAH,2026-01-07 00:00:00,C
BDO000,BDO/HOC/00229077,,2026-01-07 02:36:46,YUDIANA,BDO026,Y,YUDIANA,NUGIABDO,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00577044,,2026-01-07 01:19:41,WILLYANA,CGK864,Y,WILLYANA,WARDOYO,2026-01-07 00:00:00,C
CGK000,CGK/HOC/00577044,,2026-01-07 01:19:41,WILLYANA,CGK864,Y,WILLYANA,WARDOYO,2026-01-07 00:00:00,C
DPK000,DPK/HOC/00082681,AU Ex UNDEL,2026-01-10 12:57:50,HIZRAH,DPK001,Y,HIZRAH,JIMYFT,2026-01-10 00:00:00,C
PNK000,PNK/HOC/00050195,AU Ex UNDEL,2026-01-09 21:03:55,ENDRO K,PNK277,Y,ENDRO K,HIDAYT,2026-01-09 00:00:00,C
SUB000,SUB/HOC/00304397,AU Ex UNDEL,2026-01-06 23:39:30,FIRGO,SUB001,Y,FIRGO,IHSAMI,2026-01-06 00:00:00,C
MDN000,MDN/HOC/00037808,AU Ex UNDEL,2026-01-06 22:01:47,PONOROGO,MDN006,Y,PONOROGO,NURKOMDN,2026-01-06 00:00:00,C
DPS000,DPS/HOC/00203476,AU Ex UNDEL,2026-01-06 17:22:25,LUH,DPS140,Y,LUH,LUHULAN,2026-01-06 00:00:00,C
CGK000,CGK/HOC/00576933,,2026-01-06 19:27:31,ZAENIS,CGK864,Y,ZAENIS,WARDOYO,2026-01-06 00:00:00,C
