DSJ_NO,DSJ_BAG_NO,DSJ_HVO_NO,DSJ_UID,DSJ_CDATE
TGR/DO/00887285,TGR593/24988549,TGR/HVO/04633405,SUPPAHUR,2026-01-06 02:45:33
CGK/DO/03391072,CGK1166/24991172,CGK/HVO/11209245,JUMADI,2026-01-06 06:56:33
CGK/DO/03391072,CGK1166/24991197,CGK/HVO/11209245,JUMADI,2026-01-06 06:56:40
CGK/DO/03391088,2061260106071930,CGK/HVO/11210534,MRIAL,2026-01-06 08:58:43
CGK/DO/03391088,2073260106075240,CGK/HVO/11210806,MRIAL,2026-01-06 08:58:43
CGK/DO/03391088,CGK010/24991476,CGK/HVO/11210664,MRIAL,2026-01-06 08:58:43
CKR/DO/00167069,CKR150/24991827,CKR/HVO/00223086,RUSTANDI,2026-01-06 09:01:23
SDA/DO/00093471,SDA004/24987625,SDA/HVO/00097408,FERIYAN,2026-01-05 22:56:03
DPS/DO/00201137,DPS033/24986903,DPS/HVO/00509077,AINUNDPS,2026-01-05 23:50:40
CGK/DO/03390446,CGK843/24988007,CGK/HVO/11206829,RINALDY,2026-01-06 00:29:27
SOC/DO/00116502,SOC222/24993610,SOC/HVO/01427853,SANTOS,2026-01-06 12:18:33
SUB/DO/00409892,SUB309/24993987,SUB/HVO/01336414,KITOSO,2026-01-06 12:45:41
SUB/DO/00409892,SUB309/24994002,SUB/HVO/01336414,KITOSO,2026-01-06 12:45:41
SUB/DO/00409892,SUB309/24994087,SUB/HVO/01336414,KITOSO,2026-01-06 12:45:41
SUB/DO/00409892,SUB309/24994142,SUB/HVO/01336414,KITOSO,2026-01-06 12:45:41
SUB/DO/00409892,SUB309/24994190,SUB/HVO/01336414,KITOSO,2026-01-06 12:45:41
CGK/DO/03391369,2047260106110819,CGK/HVO/11212015,MRIAL,2026-01-06 13:00:39
CGK/DO/03391444,2271260106111016,CGK/HVO/11212030,MRIAL,2026-01-06 13:17:31
CGK/DO/03391689,CGK1153/24995495,CGK/HVO/11212668,ENDDESP,2026-01-06 15:15:52
BOO/DO/00466640,BOO419/24996331,BOO/HVO/01108045,MGIRI,2026-01-06 16:43:05
BTH/DO/00042717,BTH141/24994703,BTH/HVO/00104608,DWISUL,2026-01-06 14:06:40
BOO/DO/00466672,BOO417/24997040,BOO/HVO/01108121,FINARA,2026-01-06 16:57:35
DPS/DO/00201359,DPS057/24996300,DPS/HVO/00509290,VELKUDPS,2026-01-06 15:36:27
DPS/DO/00201359,DPS057/24996393,DPS/HVO/00509290,VELKUDPS,2026-01-06 15:36:27
CGK/DO/03391715,CGK010/24996572,CGK/HVO/11213170,TANRIFD,2026-01-06 15:58:59
SUB/DO/00409674,SUB564/24984740,SUB/HVO/01336102,ERGAFAH,2026-01-05 15:49:56
CKR/DO/00167007,CKR116/24985251,CKR/HVO/00223017,YUSUFCKR,2026-01-05 17:41:19
PLM/DO/00060693,PLM325/24995221,PLM/HVO/00692041,MUHAMAR,2026-01-06 14:11:17
CGK/DO/03391756,2061260106155443,CGK/HVO/11213264,TANRIFD,2026-01-06 16:28:43
BDO/DO/00955806,BDO388/24990752,BDO/HVO/01420019,YANCAH,2026-01-06 06:08:03
CGK/DO/03390978,CGK1148/24988589,CGK/HVO/11207312,DEMIRJUL,2026-01-06 06:08:24
CGK/DO/03391949,CGK010/24997863,CGK/HVO/11213956,LAWACGK,2026-01-06 18:06:18
BOO/DO/00466611,BOO334/24995191,BOO/HVO/01107967,IRHER,2026-01-06 17:04:59
CGK/DO/03390804,2224260106035407,CGK/HVO/11208995,ARSYADA,2026-01-06 04:41:43
