DHOUNDEL_NO,DHOUNDEL_SEQ_NO,DHOUNDEL_CNOTE_NO,DHOUNDEL_QTY,DHOUNDEL_REMARKS,DHOUNDEL_WEIGHT,DHOUNDEL_SERVICE,DHOUNDEL_DEST,DHOUNDEL_GOODS,DHOUNDEL_HRS,CREATE_DATE
SOC/HOC/00064671,73,RTMGL26007779468,1,AU SORTIR MOTOR,,,,,SOC/HRS/01994321,2026-01-06 22:04:24
CLG/HOC/00148686,180,TG3544177970,1,,,,,,CLG/HRS/02844006,2026-01-08 23:41:42
SUB/HOC/00304533,24,TG3544277970,1,AU AREA,,,,,SUB/HRS/05170427,2026-01-07 23:41:32
CGK/HOC/00577032,176,0107582600347172,1,,,,,,CGK/HRS/15256164,2026-01-07 00:55:19
MES/HOC/00066971,2,011130000119426,1,,,,,,MES/HRS/02964324,2026-01-13 09:25:13
CKR/HOC/00036506,62,0117582600061276,1,,,,,,CKR/HRS/02766487,2026-01-08 02:30:46
CGK/HOC/00576958,6,018920000045226,1,ANTAR ULANG DI AREA,,,,,CGK/HRS/15259588,2026-01-06 21:37:46
PLM/HOC/00067729,1,020410000398826,1,,,,,,PLM/HRS/03037310,2026-01-13 14:43:23
MXG/HOC/00071525,15,020460036049425,1,AU TO OPR/ SORTIR KRANJANG AU,,,,,MXG/HRS/01400019,2026-01-08 20:39:20
TGR/HOC/00177283,127,041210016061825,1,,,,,,TGR/HRS/10801039,2026-01-07 00:48:42
UPG/HOC/00093073,121,101430000002026,1,,,,,,UPG/HRS/02145101,2026-01-17 15:42:02
BKS/HOC/00087687,2,11003112883587,1,AU/RU,,,,,BKS/HRS/00967679,2026-01-07 07:46:02
BKS/HOC/00087725,6,11003112883587,1,AU/RU,,,,,BKS/HRS/00968109,2026-01-07 21:10:21
CGK/HOC/00576749,16,220250000285326,1,,,,,,CGK/HRS/15252770,2026-01-05 23:04:35
AMI/HOC/00072888,21,270090000277226,1,,,,,,AMI/HRS/01021956,2026-01-09 18:38:35
BTJ/HOC/00154681,34,290200004543725,1,,,,,,BTJ/HRS/00718695,2026-01-09 19:36:17
PLM/HOC/00068022,21,542150000114826,1,AU TO TIM TRANSIT,,,,,PLM/HRS/03033167,2026-01-20 13:31:25
PGK/HOC/00030668,17,543080000226626,1,ANTAR ULANG,,,,,PGK/HRS/00840130,2026-01-07 21:02:38
SOC/HOC/00064713,21,570010000179126,1,AU SORTIR BY ANDRI SETIAWAN,,,,,SOC/HRS/01996467,2026-01-07 23:03:20
CGK/HOC/00576911,12,CM18015226666,2,ANTAR ULANG DI AREA,,,,,CGK/HRS/15255647,2026-01-06 16:05:53
TNJ/HOC/00006665,3,CM29332656863,1,ANTAR ULANG,,,,,TNJ/HRS/00127762,2026-01-07 19:11:09
PKU/HOC/00098858,58,CM56879753586,1,,,,,,PKU/HRS/02100919,2026-01-21 09:41:00
KOE/HOC/00503653,5,CSS3601048366674,1,AU,,,,,KOE/HRS/01348808,2026-01-08 14:34:21
DPS/HOC/00203558,32,JNAP-0249241845,1,,,,,,DPS/HRS/02034853,2026-01-07 13:51:41
MJK/HOC/00043948,34,JNAP-0249295689,1,ANTAR ULANG,,,,,MJK/HRS/00867090,2026-01-06 23:09:52
MGL/HOC/00018242,20,JT28783978093,1,,,,,,MGL/HRS/01198024,2026-01-07 10:50:05
TRK/HOC/00025865,56,JT58542981935,1,,,,,,TRK/HRS/00459083,2026-01-18 20:05:46
SUB/HOC/00304248,39,JT88560587398,1,AU DI AREA,,,,,SUB/HRS/05165476,2026-01-06 00:03:10
SUB/HOC/00304735,25,RTCGK26067136993,1,AU EX UNDEL 09/01/26,,,,,SUB/HRS/05172076,2026-01-09 13:46:06
KRW/HOC/00074908,19,TG3544377770,1,HO TO INBOUNG SACA JAKA INB,,,,,KRW/HRS/01967676,2026-01-09 22:07:49
TSM/HOC/00052538,22,TG3547057377,1,,,,,,TSM/HRS/02412458,2026-01-08 23:01:04
BTJ/HOC/00154759,26,0117582600061003,1,,,,,,BTJ/HRS/00719302,2026-01-10 20:10:57
CGK/HOC/00576962,3,014020023483125,1,ANTAR ULANG,,,,,CGK/HRS/15257041,2026-01-06 22:07:20
BKI/HOC/00091520,534,0161262600001748,1,AU,,,,,BKI/HRS/03321484,2026-01-06 01:31:44
DPK/HOC/00082542,146,0161262600001763,1,,,,,,DPK/HRS/02472278,2026-01-06 02:58:39
CGK/HOC/00577055,52,017390000090926,1,,,,,,CGK/HRS/15263558,2026-01-07 02:15:16
BTJ/HOC/00155230,2,020390000274126,1,,,,,,BTJ/HRS/00723240,2026-01-17 17:27:50
DPK/HOC/00082563,33,050990000052026,1,,,,,,DPK/HRS/02473638,2026-01-06 21:00:14
CGK/HOC/00577050,190,091470000099826,1,,,,,,CGK/HRS/15263710,2026-01-07 01:49:22
BKI/HOC/00091556,43,301610000074126,1,AU,,,,,BKI/HRS/03323088,2026-01-07 00:54:19
MGL/HOC/00018261,25,520030000097126,1,,,,,,MGL/HRS/01199586,2026-01-09 08:35:11
AMQ/HOC/00009027,164,520560000063926,1,,,,,,AMQ/HRS/00256089,2026-01-10 12:58:02
LBJ/HOC/00090562,1,540210000568126,1,AU,,,,,LBJ/HRS/00223095,2026-01-08 12:30:14
LBJ/HOC/00090631,3,540210000568126,1,AU,,,,,LBJ/HRS/00223266,2026-01-09 11:59:32
PLW/HOC/00064256,7,541040000531926,1,,,,,,PLW/HRS/00725276,2026-01-07 16:30:12
CKR/HOC/00036461,8,CM24092522337,1,AU DELTAMAS,,,,,CKR/HRS/02763867,2026-01-06 22:35:35
CLG/HOC/00148603,8,CM25042359401,1,,,,,,CLG/HRS/02841537,2026-01-06 22:40:35
CBN/HOC/00092356,128,CM31330050018,1,,,,,,CBN/HRS/03110006,2026-01-10 14:28:51
TKG/HOC/00189135,28,JNAC-0072683005,1,,,,,,TKG/HRS/02148506,2026-01-08 20:02:24
TKG/HOC/00189373,10,JNAC-0072683005,1,,,,,,TKG/HRS/02150865,2026-01-11 14:42:37
TKG/HOC/00189279,3,JNAC-0072683005,1,,,,,,TKG/HRS/02149522,2026-01-10 11:32:22
PGK/HOC/00030701,4,PGKEC03373990226,1,AU HO OPR,,,,,PGK/HRS/00841705,2026-01-12 14:25:55
